experiment,feature_set,model,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_top10_source_rf_leaf3_raw,top10_source,rf_leaf3,10,281,5,8.217153611145445,13.929943319672734,0.2808301614606896,0.5312861944917642,0.006883855223706343,direct,False,,,,
direct_raw_source_hgb_slow_log1p,raw_source,hgb_slow,137,281,5,7.8802545613169,13.956442768825436,0.2780913518150687,0.5513732220543852,-1.924703560335924,direct,True,,,,
direct_top20_source_hgb_slow_raw,top20_source,hgb_slow,20,281,5,8.787936517732415,13.994224140190628,0.27417751549768543,0.4223333271094877,-0.44901278789191534,direct,False,,,,
direct_top20_source_hgb_medium_raw,top20_source,hgb_medium,20,281,5,8.837394720952153,14.001468374526377,0.2734258640958389,0.41265883651393387,-0.45270083143936174,direct,False,,,,
direct_raw_source_rf_leaf3_raw,raw_source,rf_leaf3,137,281,5,8.19811718003797,14.003139254736363,0.27325244074474697,0.571557640378745,0.37673451586512124,direct,False,,,,
direct_top50_source_hgb_slow_raw,top50_source,hgb_slow,50,281,5,8.683995026786056,14.017675397101637,0.2717428379482508,0.46668914788441995,0.07861779238156541,direct,False,,,,
direct_top10_source_rf_leaf2_raw,top10_source,rf_leaf2,10,281,5,8.182819598422851,14.018875177126095,0.2716181688054392,0.5381680050303965,0.043557622360025916,direct,False,,,,
direct_raw_source_et_leaf3_log1p,raw_source,et_leaf3,137,281,5,7.275119084112601,14.030471942245034,0.2704125989378011,0.6456356205646537,-2.396686932205209,direct,True,,,,
direct_top10_source_et_leaf2_log1p,top10_source,et_leaf2,10,281,5,7.626815833881263,14.03106291794389,0.27035113592977267,0.5284446853418419,-2.2458997684114403,direct,True,,,,
direct_raw_source_rf_leaf3_log1p,raw_source,rf_leaf3,137,281,5,7.3686141211041125,14.050736855652334,0.26830351765487004,0.6303383475603662,-2.2815893202609545,direct,True,,,,
direct_raw_source_rf_leaf2_raw,raw_source,rf_leaf2,137,281,5,8.2605636882723,14.069280830252065,0.2663708766944032,0.557319883631543,0.3927771360598579,direct,False,,,,
direct_top50_source_hgb_medium_raw,top50_source,hgb_medium,50,281,5,8.746075766575649,14.07404340489446,0.26587411287678675,0.45731033407280414,0.17019654339718326,direct,False,,,,
direct_top30_source_hgb_slow_raw,top30_source,hgb_slow,30,281,5,8.75193450936939,14.27546803616036,0.24471044572058653,0.44592444004350157,-0.3404165637748979,direct,False,,,,
direct_top30_source_hgb_medium_raw,top30_source,hgb_medium,30,281,5,8.775347185236917,14.312149008677373,0.24082400933197168,0.4535498305013743,-0.3318075134870607,direct,False,,,,
direct_top10_source_hgb_medium_raw,top10_source,hgb_medium,10,281,5,8.965212651896682,14.342944441232044,0.23755345849432408,0.3913260169835503,-0.48368980367158815,direct,False,,,,
direct_top10_source_hgb_slow_raw,top10_source,hgb_slow,10,281,5,8.913155099692213,14.358444213694565,0.23590468499319062,0.3907229734797182,-0.524944121117371,direct,False,,,,
direct_top10_source_et_leaf3_log1p,top10_source,et_leaf3,10,281,5,7.776682497261277,14.374540582374024,0.23419056421112083,0.5131581118357618,-2.4479104499553763,direct,True,,,,
direct_raw_source_ridge_log1p,raw_source,ridge,137,281,5,8.152527618202452,14.71698689678943,0.19726800565847147,0.5454283144919138,-1.4602731661202353,direct,True,,,,
direct_raw_source_et_leaf1_log1p,raw_source,et_leaf1,137,281,5,7.234087773401566,14.846002135656878,0.18313214942573686,0.6531533724653608,-3.0395202101387384,direct,True,,,,
direct_top20_source_ridge_raw,top20_source,ridge,20,281,5,9.553797959400427,14.856701803833051,0.18195427481047677,0.3519143495767304,0.05063261149460797,direct,False,,,,
direct_top50_source_ridge_log1p,top50_source,ridge,50,281,5,8.183663738649765,15.000268632983728,0.1660676143666432,0.4909419202665238,-2.2798855192237717,direct,True,,,,
direct_top20_source_ridge_log1p,top20_source,ridge,20,281,5,8.306897949025837,15.02115039684228,0.16374417596517965,0.42890965017648164,-2.501227457373377,direct,True,,,,
direct_top30_source_ridge_raw,top30_source,ridge,30,281,5,9.653856483806301,15.028527339046494,0.16292259765316086,0.3427816331310226,0.06954062350328769,direct,False,,,,
direct_top50_source_ridge_raw,top50_source,ridge,50,281,5,9.699977895984182,15.068287210420493,0.15848755021487193,0.3865063366444345,0.15764570475764106,direct,False,,,,
direct_top10_source_ridge_raw,top10_source,ridge,10,281,5,9.426244500831555,15.082592380511617,0.15688900185646282,0.3594358873956607,-0.0003680196077770641,direct,False,,,,
direct_top30_source_ridge_log1p,top30_source,ridge,30,281,5,8.269179162671414,15.083059105803368,0.15683682152763945,0.42444280751835667,-2.4648382151206314,direct,True,,,,
direct_top15_source_ridge_raw,top15_source,ridge,15,281,5,9.486679282476832,15.160780940415796,0.1481249243198569,0.3489899981719014,0.07517330097303372,direct,False,,,,
direct_raw_source_ridge_raw,raw_source,ridge,137,281,5,10.01274263614087,15.240175922843108,0.13917925013252164,0.4384529723286257,0.7782258856468818,direct,False,,,,
direct_top10_source_ridge_log1p,top10_source,ridge,10,281,5,8.423670827022494,15.342015637886163,0.12763625410300794,0.41617328042757895,-2.58661854484888,direct,True,,,,
direct_top15_source_ridge_log1p,top15_source,ridge,15,281,5,8.456913363474763,15.363719943845945,0.12516624715352764,0.4211306699183617,-2.5404384700528726,direct,True,,,,
direct_raw_source_et_leaf1_raw,raw_source,et_leaf1,137,281,5,7.479318860162208,15.57675508131718,0.1007369493174215,0.5946685077506234,-2.8369532358934713,direct,False,,,,
