experiment,feature_set,model,T,cv,pca_dim,n_rows,n_features_per_timestep,n_flattened_features,explained_variance,log_target,valid_embedding_rows,total_rows,MAE,RMSE,R2,Spearman,Bias
resnet50_pca8_T7_random2fold_lstm_h8_log1p,resnet50_pca8_T7,lstm_h8,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,True,252,281,8.8269886878427,17.685409377147867,-0.03041999524242356,0.27519609294065417,-4.705264821073016
resnet50_pca64_T7_random2fold_gru_h8_raw,resnet50_pca64_T7,gru_h8,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,9.15588213010919,17.80886963006073,-0.04485674950955221,0.3936696227653753,-6.2467981170175415
resnet50_pca16_T7_random2fold_gru_h8_raw,resnet50_pca16_T7,gru_h8,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,8.724925182408018,17.82133649429967,-0.04632013790940226,0.39373697931489854,-4.999355547417898
resnet50_pca8_T7_random2fold_lstm_h8_raw,resnet50_pca8_T7,lstm_h8,7,random_2fold_sequence_cv,8,233,8,56,0.23441481590270996,False,252,281,9.117743801149688,17.83480998334466,-0.04790283761629488,0.23784071978536978,-5.368363267874002
resnet50_pca64_T7_random2fold_lstm_h8_raw,resnet50_pca64_T7,lstm_h8,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,9.863969255286737,17.90370185233051,-0.056014100454071514,0.2579585083654937,-5.7604209556855865
resnet50_pca32_T7_random2fold_gru_h16_raw,resnet50_pca32_T7,gru_h16,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,8.747030033062456,17.910457854320956,-0.05681122939652905,0.3960508190935896,-5.524533263603505
resnet50_pca16_T7_random2fold_lstm_h8_raw,resnet50_pca16_T7,lstm_h8,7,random_2fold_sequence_cv,16,233,16,112,0.34075337648391724,False,252,281,8.570173060177734,17.99208837988506,-0.06646644299488025,0.4770133916204657,-5.978597392595889
resnet50_pca64_T7_random2fold_lstm_h8_log1p,resnet50_pca64_T7,lstm_h8,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,True,252,281,10.262198290599773,18.300771948654027,-0.10337429352283811,0.13447308204596942,-3.042529804000527
resnet50_pca32_T7_random2fold_lstm_h8_raw,resnet50_pca32_T7,lstm_h8,7,random_2fold_sequence_cv,32,233,32,224,0.47574350237846375,False,252,281,9.400101710798403,18.583712359471058,-0.13775562874353908,0.254392405975949,-6.720454261026669
resnet50_pca64_T7_random2fold_lstm_h16_raw,resnet50_pca64_T7,lstm_h16,7,random_2fold_sequence_cv,64,233,64,448,0.6464006304740906,False,252,281,9.555489360007094,18.623846863929042,-0.14267526654583884,0.31611187638270666,-7.528840719886092
