experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
residual_T7_top30_source_base-et_leaf2_res-hgb_slow_raw,top30_source,base_et_leaf2_res_hgb_slow,7,294,275,5,6.119213269764637,11.033383624799637,0.5553504908883782,0.7746833617033554,0.0800428431946352,residual_temporal,False,et_leaf2,hgb_slow,84.0,210.0
residual_T7_raw_source_base-et_leaf2_res-hgb_slow_log1p,raw_source,base_et_leaf2_res_hgb_slow,7,1043,275,5,5.721190589456499,11.035101509600782,0.5552120173021593,0.7894734716251696,-1.249001032574131,residual_temporal,True,et_leaf2,hgb_slow,84.0,959.0
direct_T7_tabular_et_leaf2_raw,tabular,et_leaf2,7,84,275,5,6.194895518758863,11.044359362347555,0.5544653981719767,0.7769291134127694,0.0009936358205428581,direct_temporal,False,,,,
residual_T7_top30_source_base-et_leaf3_res-et_leaf3_log1p,top30_source,base_et_leaf3_res_et_leaf3,7,294,275,5,5.9291286200597275,11.04581800086876,0.5543477060856995,0.7766584922535414,-0.8771307450446214,residual_temporal,True,et_leaf3,et_leaf3,84.0,210.0
residual_T7_raw_source_base-et_leaf3_res-rf_leaf2_log1p,raw_source,base_et_leaf3_res_rf_leaf2,7,1043,275,5,6.088877334142417,11.048178091575869,0.5541572462753006,0.7560376215342893,-0.7814720615275396,residual_temporal,True,et_leaf3,rf_leaf2,84.0,959.0
residual_T7_top30_source_base-et_leaf2_res-et_leaf1_log1p,top30_source,base_et_leaf2_res_et_leaf1,7,294,275,5,5.712624512102017,11.052287982494269,0.5538254800987086,0.794340036352096,-1.1663798846347226,residual_temporal,True,et_leaf2,et_leaf1,84.0,210.0
residual_T7_top30_source_base-et_leaf3_res-et_leaf2_log1p,top30_source,base_et_leaf3_res_et_leaf2,7,294,275,5,5.911903665461471,11.056612246353922,0.5534762756998156,0.7742494446207554,-0.8026718700664752,residual_temporal,True,et_leaf3,et_leaf2,84.0,210.0
residual_T7_top30_source_base-et_leaf2_res-et_leaf2_log1p,top30_source,base_et_leaf2_res_et_leaf2,7,294,275,5,5.731014582875243,11.057351313492934,0.5534165789258529,0.788842791610167,-1.2245088961502422,residual_temporal,True,et_leaf2,et_leaf2,84.0,210.0
residual_T7_raw_source_base-et_leaf2_res-rf_leaf2_log1p,raw_source,base_et_leaf2_res_rf_leaf2,7,1043,275,5,5.839493331865507,11.061883107375888,0.5530504444538684,0.7758212400103863,-1.214979701962824,residual_temporal,True,et_leaf2,rf_leaf2,84.0,959.0
residual_T7_top30_source_base-et_leaf2_res-et_leaf3_log1p,top30_source,base_et_leaf2_res_et_leaf3,7,294,275,5,5.741269859048119,11.067857933427932,0.552567494668019,0.7922287296962005,-1.2633772250738977,residual_temporal,True,et_leaf2,et_leaf3,84.0,210.0
