cv_fold,model,split,R2,RMSE,MAE,train_rows,val_rows,test_rows,n_raw_features,n_processed_features,train_PM2.5_mean,val_PM2.5_mean,test_PM2.5_mean
4,extra_trees,test,-0.31879060520309155,70.51537013718578,62.81470631958437,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,extra_trees_conservative,val,-0.8314598960113178,28.211773593614293,22.49717826879158,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,extra_trees_conservative,test,-0.07535679088902891,63.675469898185554,54.80220027183319,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,hgb,val,0.035571348144126214,20.472304633332474,14.953659462220571,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
4,hgb,test,0.039966133017175665,60.164338282307035,47.887308180453466,17901,4517,4260,111,113,67.75308152084193,56.19753020382844,72.62344215269096
5,train_mean_baseline,val,-0.064715073581465,53.75632465683652,33.402832712186,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,train_mean_baseline,test,-0.16160503677096094,22.467819513836535,18.008042687903117,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,ridge,val,-0.08075678486157778,54.159775092205145,37.255729635198485,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,ridge,test,-4.87185567571565,50.51488510209922,38.30091269383663,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,random_forest,val,-0.2782758445481579,58.90133768042083,34.54128575844386,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,random_forest,test,-0.8588943905065405,28.42228838550481,20.732559064368616,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,extra_trees,val,-0.2345394157853451,57.884907961057245,33.86451310486535,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,extra_trees,test,-0.6474001550549546,26.756618996562448,22.291184015758702,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,extra_trees_conservative,val,-0.24869381516821654,58.215796955633785,33.41766844427822,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,extra_trees_conservative,test,-0.39935537810733424,24.66014886019941,20.61640349521479,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,hgb,val,-0.4128862694114257,61.92506472367889,38.246103735384054,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
5,hgb,test,-0.8082579794598039,28.032503068286584,21.058400087650558,15286,6875,4517,111,113,64.57782178194196,77.830864307824,56.19753020382844
