split_mode,feature_set,model,target,R2,RMSE,MAE,train_rows,test_rows,seed,train_frac
chrono,T7_tabular_plus_yolo_plus_road,ridge,PM10,-14.69866024947447,315.88730697415,251.16119265494794,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,ridge,PM10,-19.025516672564788,356.7736283284706,314.12356595264475,16825,5462,42,0.8
chrono,baseline,previous_sequence_persistence,PM2.5,0.8392779454303467,16.59762000041042,7.348591966985405,16825,5462,42,0.8
chrono,T7_yolo_only,extra_trees,PM2.5,-0.03408547368884052,42.100407376021394,31.95216096573932,16825,5462,42,0.8
chrono,T7_yolo_only,hist_gradient_boosting,PM2.5,-0.08741029453465665,43.17226156092928,30.885939737504806,16825,5462,42,0.8
chrono,baseline,train_mean,PM2.5,-0.13554030956002872,44.11734385314745,35.08941378841315,16825,5462,42,0.8
chrono,T7_yolo_only,random_forest,PM2.5,-0.1485296095996167,44.36895268934378,35.346035497293094,16825,5462,42,0.8
chrono,T7_road_only,extra_trees,PM2.5,-0.23492614681980295,46.00749339890925,34.52956851842418,16825,5462,42,0.8
chrono,T7_road_only,random_forest,PM2.5,-0.3577933406610947,48.24195693823427,37.459676051127396,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo,extra_trees,PM2.5,-0.37331880888276725,48.51698041975937,37.04942351925611,16825,5462,42,0.8
chrono,T7_tabular_plus_yolo_plus_road,extra_trees,PM2.5,-0.4845345550218729,50.44327033854941,38.75042012297726,16825,5462,42,0.8
chrono,T7_tabular_plus_road,extra_trees,PM2.5,-0.5799542118728891,52.03916626744741,40.16338814706036,16825,5462,42,0.8
chrono,T7_tabular_only,extra_trees,PM2.5,-0.648340365580161,53.153458353135335,39.80424356910453,16825,5462,42,0.8
chrono,T7_road_only,hist_gradient_boosting,PM2.5,-0.6836834669029968,53.72028439636034,40.49449619717122,16825,5462,42,0.8
chrono,T7_road_only,ridge,PM2.5,-1.0075922342453576,58.66050980940096,48.98807491799209,16825,5462,42,0.8
chrono,T7_tabular_only,random_forest,PM2.5,-1.0148815114747203,58.76690723471481,43.51841208513269,16825,5462,42,0.8
chrono,T7_tabular_plus_road,hist_gradient_boosting,PM2.5,-1.2878996647095815,62.62194707938003,39.21707728880698,16825,5462,42,0.8
chrono,T7_tabular_plus_road,random_forest,PM2.5,-1.3300361587367946,63.19597372495585,49.612315751321894,16825,5462,42,0.8
