heldout_date,train_rows,test_rows,embedding_kind,target,target_mode,model,pca_components,alpha,model_label,MAE,RMSE,R2,Pearson,Spearman
2023-12-21,25970,708,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,69.00312580587186,78.76098631457525,-3.866540802657531,-0.10221928873480558,-0.05231082037917739
2023-12-21,25970,708,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,69.06912459598796,78.80407244319139,-3.871866732803751,-0.10241422565728366,-0.052651072169124485
2023-12-21,25970,708,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,68.0903476234822,78.55579051689693,-3.841216261872633,-0.1320014632867388,-0.08834584835983546
2023-12-21,25970,708,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,68.18379931793044,78.5952939062739,-3.846086495763428,-0.13174737021053257,-0.08770563214027527
2023-12-22,25942,736,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,68.113970304556,71.3943617516159,-10.670340462921287,0.1927638339081327,0.04904204156365765
2023-12-22,25942,736,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,68.13527281403881,71.410996473627,-10.675779421429155,0.19225465555696747,0.04906934136231954
2023-12-22,25942,736,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,68.79116911427232,72.04532949288136,-10.884129043812802,0.22143325845619075,0.06820380636324445
2023-12-22,25942,736,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,68.80789011843653,72.0519539063131,-10.886314584608618,0.22140126646886288,0.06784814145598073
2023-12-22,25942,736,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,68.73200104352387,72.20418160232968,-10.936593240965797,0.20167709140766682,0.012695971526102617
2023-12-22,25942,736,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,68.75380702700222,72.20320144207068,-10.936269168463294,0.2025023569067951,0.013519314792361292
2023-12-23,26242,436,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,180.33211342235654,183.1377932967464,-32.43435960915701,0.0008744137381896688,-0.023569921169101275
2023-12-23,26242,436,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,180.36194501509473,183.16611246942315,-32.44470052887626,0.0008662337283388727,-0.02383987456359539
2023-12-23,26242,436,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,179.96881000898904,183.08978692762543,-32.416833441451935,-0.16096421705477956,-0.2106446554416526
2023-12-23,26242,436,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,180.00618334594364,183.1193750264408,-32.42763492283355,-0.15994887894770957,-0.21006131286915763
2023-12-23,26242,436,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,179.3379022594259,182.43017884222226,-32.17648897346227,-0.11556539099545426,-0.1595945066932597
2023-12-23,26242,436,front,PM2.5,log1p,ridge,256.0,1000.0,front_log1p_pca256_a1000,179.39421152630715,182.47892879493432,-32.19422253462598,-0.11616535722448158,-0.15992121617820257
2023-12-29,26269,409,front,PM2.5,log1p,ridge,64.0,100.0,front_log1p_pca64_a100,41.97890857218979,47.87341636002226,-3.6549491431809926,0.03169727041820539,0.056359128346942775
2023-12-29,26269,409,front,PM2.5,log1p,ridge,64.0,1000.0,front_log1p_pca64_a1000,41.99236399730033,47.8833537820265,-3.656881864872112,0.030861262641172834,0.055808948559914986
2023-12-29,26269,409,front,PM2.5,log1p,ridge,128.0,100.0,front_log1p_pca128_a100,41.68817759989214,47.466128791904644,-3.576081233845594,0.15116360335397405,0.19114984958178396
2023-12-29,26269,409,front,PM2.5,log1p,ridge,128.0,1000.0,front_log1p_pca128_a1000,41.71503728978333,47.48476503308716,-3.5796752785802406,0.14988472247523985,0.18930958166210607
2023-12-29,26269,409,front,PM2.5,log1p,ridge,256.0,100.0,front_log1p_pca256_a100,41.63906809942997,47.71848383744549,-3.624868315242299,0.08013284902222455,0.12361919067702401
